Row,asp,ni,T,Tasp,Tni,W,TW,Tasp_W,Tni_W,TA,Tasp_A,Tni_A,WA,TWA,Tasp_WA,Tni_WA,A,Ap,B,Bp,Z,Y,Yp,M,MYp,MYpYp,MYpYpYp,MYpYpYpYp,species_1,Bias,parameter_2
asp,0,0,-3.12718550951529,3.12718550951666,0,0,-0.727697900529535,0.727697900529535,0,-0.398129361276837,0.398129361276837,0,0,-0.748987228764279,0.748987228764279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ni,0,0,-0.00312718549567614,0,0.00312718550951666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T,0,0,-0.599521352924021,0,0,-0.281043213223477,0.281043213223488,0,0,0.0309250442667115,0,0,-0.287553095433822,0.287553095433822,0,0,-0.0309250442667115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasp,0,0,1.00000000000308,-1.59952135292395,0,-0.281043213223456,0,0.281043213223456,0,0,0.0309250442667115,0,-0.28755309543378,0,0.28755309543378,0,-0.0309250442667115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tni,0,0,1.00000000000308,0,-1.00000059952135,-2.81043213223626e-07,0,0,2.81043213223456e-07,0,0,3.09250442667115e-08,-2.87553095433688e-07,0,0,2.8755309543378e-07,-3.09250442668839e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W,0,0,-0.312718550951663,0,0,-0.781220738129535,0.312718550951663,0,0,-0.15925174451074,0,0,0.309250442667133,0.15925174451074,0,0,-0.309250442667133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TW,0,0,0.999999999999983,0,0,1.00000000000003,-2.23700177066833,0,0,0,0,0,0,1.23700177066834,0,0,-1.23700177066834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasp_W,0,0,0,1,0,1,1,-3.23700177066846,0,0,0,0,0,0,1.23700177066846,0,-1.23700177066846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tni_W,0,0,0,0,1,1,0,0,-1.00000123700177,0,0,0,0,0,0,1.23700177066846e-06,-1.23700177066826e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA,0,0,0.999999999999916,0,0,-1.12417285289383,0,0,0,-2.12417285289375,0,0,0,1.12417285289383,0,0,0.999999999999916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasp_A,0,0,0,1,0,-1.12417285289382,0,0,0,1,-3.12417285289382,0,0,0,1.12417285289382,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tni_A,0,0,0,0,1,-1.12417285289332e-06,0,0,0,0,0,-1.00000112417285,0,0,0,1.12417285289382e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,0,0,-1.2508742038067,0,0,1.00000000000003,0,0,0,0,0,0,-2.25087420380669,1.2508742038067,0,0,0.999999999999988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWA,0,0,0.99999999999999,0,0,1.00000000000003,0.99999999999999,0,0,1.00000000000003,0,0,0.99999999999999,-3.00000000000001,0,0,0.768755900298764,0.23124409970127,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasp_WA,0,0,0,1,0,1,0,1,0,0,1,0,1,1,-4,0,1,0,0,0,0,0.893410102756801,-0.893410102756796,0,0,0,0,0,0,0,0
Tni_WA,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,-3,0.383349067462268,0.616650932537732,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,-0.0312718550951682,0,0,-0.281043213223447,-0.2910791602118,0,0,0.0312718550951682,0,0,0.281043213223458,0.2910791602118,0,0,-0.660397261588596,0.0570030330581591,0,0,0,0,0,0,0,0,0,0,0,0,0
Ap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89176020164433,-3.8917602016447,-1.91209007346653,1.91209007346653,0,-1.97967012817817,1.97967012817817,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452962447954006,-0.0452962447954006,-0.0452962447954006,0.0452962447954006,0,0,0,0,0,0,0,0,0,0,0
Bp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000000000001,-1.0000000000001,0,0,0,0,0,0,0,0,0,0,0
Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00446705051375229,-0.00446705051375229,0,0,0,0,0,0,0,0
Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00905924895907878,-0.00905924895908046,0,0,0,-0.00905924895908046,0.00905924895908046,0,0,0,0,0,0,0,0
Yp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0370000000002,-567361.53597944,-430575.088207472,362187.503240766,39293.2464989127,-10200.1488696733,39294.487337467,0,0,0
M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-633624.18634784,-633624.18634784,633624.18634784,0,0,0,0,0,0
MYp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3355737.51577988,3989361.70212773,-4622985.88847558,633624.186347852,0,0,0,0,0
MYpYp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855737.515779775,0,1489361.70212768,-2122985.88847558,633624.186347904,0,0,0,0
MYpYpYp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-164475.250177556,0,0,469148.936170247,-1102773.12251805,633624.186347803,0,0,0
MYpYpYpYp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175148.93617023,0,0,0,175148.93617023,-175148.93617023,0,0,0
species_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2673943851345e-09,5.26739438480103e-09,0,0,0,0,0,0,0,0,0,0,0,0,0
Bias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parameter_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
